Role Track Example Name,Assumed Lv,Question Set,Question ID,Question Type
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships",A,1,Behavioral ​
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",A,2,Behavioral ​
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",A,3,Specific
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",A,4,Specific
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",A,5,Situational​
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",B,6,Behavioral ​
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",B,7,Behavioral ​
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",B,8,Specific
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",B,9,Specific
Data Scientist,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals
- Has done projects or internships
- Not expected to design systems end-to-end",B,10,Situational​
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",A,1,Behavioral ​
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",A,2,Behavioral ​
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",A,3,Specific
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",A,4,Specific
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",A,5,Situational​
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",B,6,Behavioral ​
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",B,7,Behavioral ​
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",B,8,Specific
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",B,9,Specific
Data Engineer,"Junior 
- 0 to 2 years experience / fresh grad
- Knows fundamentals of data pipelines and databases
- Has done projects or internships
- Not expected to design large-scale systems end-to-end"" ",B,10,Situational​
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",A,1,Behavioral ​
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",A,2,Behavioral ​
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",A,3,Specific
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",A,4,Specific
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",A,5,Situational​
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",B,6,Behavioral ​
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",B,7,Behavioral ​
