Role Track Example Name|Assumed Lv|Question Set|Question ID|Question Type|example_answer_bad|example_answer_good|example_answer_mid|grading_rubrics|parsed_question_id|question_name|judge_verdict|judge_score|judge_reasons_json|meta_cache_id|meta_work_id|meta_group_key|meta_row_index|meta_group_context_id|meta_model|meta_temperature|meta_created_at_utc
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships|A|1|Behavioral ​|I don't usually have disagreements with teammates because I prefer to work alone so I can do things my own way. When someone disagrees with me, I usually just ignore them and keep working on my part of the project until they realize I was right. I find that most disagreements are just a waste of time and slow down the project.|During a recent project, a teammate and I disagreed on the best method to present our final results to the group. I scheduled a brief meeting to listen to their concerns and then I shared a comparison showing why my proposed approach might be more efficient. We ultimately compromised by combining elements of both methods, which allowed us to finish the task on time and maintain a strong working relationship.|I had a disagreement with a teammate about which software to use for a project. We talked about it for a few minutes and I decided to just go with their idea to avoid any further conflict. The project turned out okay and we met our deadline, although I still think my original idea might have worked a little bit better in the long run.|Question intent check: Good: The candidate identifies a specific interpersonal challenge and shows how they used communication to find a resolution. They demonstrate a high level of maturity and a collaborative mindset. Mid: The candidate describes a conflict but the resolution is passive rather than active. They show a willingness to cooperate but lack a proactive approach to problem-solving. Bad: The candidate avoids conflict or refuses to collaborate, which is a major red flag for team projects. They show a lack of interpersonal awareness and a preference for working in isolation. Structure check: Good: The response follows a clear narrative arc with a distinct situation, action, and positive result. This makes the candidate's thought process easy to follow and evaluate. Mid: The response is mostly chronological but lacks detail regarding the specific actions taken to resolve the issue. The flow is acceptable but could be more structured. Bad: The response is disorganized and does not provide a clear beginning, middle, or end. It is difficult to understand what actually occurred during the interaction. Depth check: Good: The candidate explains the reasoning behind their actions and reflects on the importance of compromise. They provide enough detail to show they actually experienced the situation. Mid: The candidate provides a high-level summary without much detail about their specific contributions. The response feels a bit generic and lacks personal reflection. Bad: The response is extremely brief and provides no insight into the candidate's actual behavior or judgment. It fails to meet the basic requirements of a behavioral answer. Clarity check: Good: The language is professional and easy to understand for any listener. The candidate avoids vague descriptions and clearly labels the roles of those involved. Mid: The response is generally clear but contains some awkward phrasing or ambiguous terms. The interviewer might need to ask follow-up questions to clarify the context. Bad: The language is muddled and makes it difficult to follow the candidate's logic. The core message of the response is lost due to poor communication. Relevance to role: Good: The candidate demonstrates the soft skills necessary for a junior contributor in a collaborative project environment. They show they can handle the inevitable friction of team work. Mid: The candidate shows they can function in a team but may not be as effective in navigating complex interpersonal dynamics. They are a safe but uninspired choice. Bad: The candidate's approach to teamwork is poorly aligned with a professional environment. Their lack of collaboration skills would likely cause issues on a real project.|1|Tell me about a time you had a disagreement with a project teammate and how you resolved it?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|0|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|A|2|Behavioral ​|I try to be very careful so I don't really make mistakes on my projects. If something does go wrong, it is usually because the instructions I was given were not very clear or because a teammate didn't do their part correctly. I don't think it's fair to take the blame for things that are outside of my control.|In a recent internship, I accidentally used an outdated version of a file which led to errors in my final report. As soon as I realized the mistake, I informed my project lead, explained exactly where the error occurred, and stayed late to re-run the analysis with the correct data. I also created a new file naming system to ensure that this type of version control issue would not happen again.|I once made a typo in a presentation that I was giving to my project group. I noticed it while I was speaking and I apologized to everyone for the error. I fixed the slide after the meeting was over and sent the updated version to the team so they had the right information. It was a simple mistake but I felt bad about it.|Question intent check: Good: The candidate takes full ownership of a mistake and describes a proactive plan to rectify it and prevent recurrence. This shows accountability and a growth mindset. Mid: The candidate admits to a small mistake but the response lacks a plan for future improvement. They show some accountability but not a deep level of reflection. Bad: The candidate becomes defensive or shifts blame to others, which suggests they cannot handle feedback or learn from failure. They lack the maturity expected for the job. Structure check: Good: The response clearly outlines the mistake, the immediate reaction, the solution, and the long-term lesson. This structure allows for a comprehensive evaluation of the candidate's judgment. Mid: The candidate tells a simple story but misses the opportunity to explain the broader impact of the mistake. The structure is functional but lacks depth in the resolution phase. Bad: The response is disjointed and fails to describe a clear sequence of events. It is hard to tell what the mistake actually was or how it was handled. Depth check: Good: The candidate provides specific details about the error and the technical or procedural steps taken to fix it. They demonstrate a high level of self-awareness. Mid: The response is somewhat vague and focuses on a very minor issue that doesn't show much about the candidate's resilience. It lacks the detail needed for a strong evaluation. Bad: The candidate gives a one-sentence answer that provides zero detail about the situation. This lack of depth makes the response essentially useless. Clarity check: Good: The candidate uses professional language and communicates the situation clearly. They avoid making excuses and stay focused on the facts of the event. Mid: The response is mostly clear but the candidate's tone is slightly apologetic or hesitant. The narrative is understandable but could be more confident. Bad: The response is confusing and the candidate's attempt to explain the mistake is muddled. It is difficult for the interviewer to grasp the severity of the error. Relevance to role: Good: The candidate shows they can handle the pressures of a project environment and take responsibility for their work. This is a critical trait for any junior hire. Mid: The candidate shows a basic level of responsibility but might need more guidance in handling significant failures. They are an acceptable candidate for a junior position. Bad: The candidate's refusal to admit mistakes is a significant risk for the team. They are likely to repeat errors rather than learn from them.|2|Describe a situation where you made a mistake on a task and what steps you took to fix it?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|1|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|A|3|Specific|I don't think you need much preparation if the data is already in a digital format. I usually just load the file and start running the models immediately because the software is good at handling errors automatically. Spending too much time on cleaning just slows down the actual project work.|My process begins with a thorough check for missing values and deciding whether to impute them or remove the affected rows based on the data context. I then look for outliers using visualizations like box plots and cap them if they represent errors rather than natural variations. Finally, I perform feature scaling and encode categorical variables to ensure the data is in a format suitable for the project's analytical tools.|I usually start by looking at the data in a spreadsheet to see if anything looks weird or missing. If I find empty cells, I just fill them with a zero so the code doesn't crash later on. I also try to make sure all the column names are easy to read and that the numbers are formatted correctly before I start making charts.|Question intent check: Good: The candidate demonstrates a structured and logical approach to data preparation, showing they understand the 'garbage in, garbage out' principle. They mention specific techniques like imputation and scaling. Mid: The candidate knows that data cleaning is necessary but their methods are somewhat primitive or potentially harmful to the data's integrity. They lack a deeper understanding of why specific steps are taken. Bad: The candidate ignores the importance of data quality entirely. This shows a fundamental misunderstanding of the workflow required for the job. Structure check: Good: The candidate provides a step-by-step workflow that is easy to follow and replicates a real-world project process. Each step builds logically on the previous one. Mid: The candidate mentions a few tasks they perform but they don't seem to have a clear order of operations. The response feels a bit scattered. Bad: The response has no structure and the candidate's refusal to clean data makes a structured answer impossible. Depth check: Good: The candidate explains the 'why' behind their actions, such as why they choose to cap outliers versus deleting them. This shows they have applied their knowledge in a practical way. Mid: The candidate describes what they do but doesn't explain the reasoning. They seem to be following a checklist without understanding the underlying principles. Bad: The response lacks any technical or procedural detail. It is a very superficial answer that doesn't demonstrate any actual skill. Clarity check: Good: The candidate uses appropriate technical terms correctly and explains their process in a way that shows they are comfortable with the work. The response is highly professional. Mid: The candidate uses some technical language but also relies on vague terms like 'looking at the data'. The level of communication is acceptable for a junior. Bad: The response is poorly articulated and suggests the candidate is not familiar with standard industry practices. Relevance to role: Good: The candidate shows they have the fundamental execution skills needed to contribute to the project immediately. They are ready for junior-level tasks. Mid: The candidate has some basic skills but will likely require significant supervision to ensure they don't make errors during data preparation. Bad: The candidate is not prepared for the technical requirements of the role. Their approach would lead to poor project outcomes.|3|Walk me through the steps you take to prepare a raw dataset before you begin any analysis or modeling?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|2|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|A|4|Specific|I don't think there is much to decide because the software usually tells you which metric to use by default. I just pick the one that has the highest number because that makes the results look the best when I present them to the team. Accuracy is the only metric that really matters in most cases.|I start by evaluating whether the dataset is balanced or imbalanced, as accuracy can be very misleading if one class is much more frequent than the others. If the cost of a false positive is high, I prioritize precision, but if missing a positive case is more dangerous, I focus on recall. I often use the F1-score as a way to balance these two needs when I want a single representative metric for the project.|I mostly just look at the accuracy of the model because that tells me what percentage of the predictions were correct. If the accuracy is high, like above ninety percent, then I know the model is doing a good job on the project. I might also look at a confusion matrix if my supervisor asks me to provide more detail.|Question intent check: Good: The candidate understands that metric selection depends on the specific goals and constraints of the project. They correctly identify the trade-offs between precision and recall. Mid: The candidate relies heavily on accuracy and doesn't fully grasp how class imbalance can skew results. They show a basic understanding but lack depth. Bad: The candidate has a fundamental misunderstanding of how to evaluate work quality. Their focus on 'making results look good' rather than being accurate is a serious concern. Structure check: Good: The candidate provides a logical framework for decision-making based on data characteristics and project costs. The response is well-organized and easy to follow. Mid: The candidate lists a few metrics but doesn't clearly explain the logic for choosing between them. The response is a bit fragmented. Bad: The response is simplistic and lacks any logical structure. Depth check: Good: The candidate demonstrates they can think critically about the implications of their choices. They provide a clear explanation of when to use specific metrics like F1-score. Mid: The candidate knows the names of the metrics but can't explain the nuances of their application. They stay at a very high level. Bad: The response provides no technical depth and suggests the candidate has not actually performed this type of task before. Clarity check: Good: The candidate uses professional terminology accurately and explains complex ideas in a clear way. They are easy to understand. Mid: The candidate is mostly clear but seems a bit unsure of the definitions of the terms they are using. They might get confused if asked to elaborate. Bad: The response is unclear and suggests a lack of familiarity with standard project evaluation methods. Relevance to role: Good: The candidate shows they have the foundational knowledge to evaluate their own work accurately. This is essential for a junior role with minimal oversight. Mid: The candidate can perform basic tasks but will need guidance on how to interpret their results correctly. Bad: The candidate's lack of knowledge would make them a liability on a project where accuracy is critical.|4|How do you decide which performance metrics are most appropriate for a classification problem you are working on?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|3|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|A|5|Situational​|I would tell the stakeholder that it is impossible to change the deadline once the project has already started. I have a specific schedule that I follow, and moving the date would mess up all of my other tasks. I think people need to respect the time it takes to do a job correctly and not ask for things early.|If a deadline were moved up, I would first assess my current progress and identify the most critical components that must be finished to deliver a working version. I would then meet with the stakeholder to explain what can realistically be completed by the new date and what might need to be deferred. My goal would be to provide a high-quality, albeit smaller, version of the final product rather than rushing everything and risking errors.|I would probably just start working much faster and stay late every night until I got everything done. I wouldn't want to disappoint the stakeholder, so I would try my best to finish the whole project by the new deadline. I might have to skip some of the final checks, but meeting the date is usually the most important thing.|Question intent check: Good: The candidate shows they can handle pressure by prioritizing tasks and communicating trade-offs to stakeholders. They focus on delivering a viable product under constraints. Mid: The candidate is willing to work hard but lacks a strategy for managing scope. They are likely to compromise quality or experience burnout by trying to do too much. Bad: The candidate is rigid and refuses to adapt to changing project needs. This lack of flexibility is a major disadvantage in a professional setting. Structure check: Good: The response follows a logical sequence: assessment, communication, and execution plan. This demonstrates a professional approach to crisis management. Mid: The candidate's plan is just 'work harder', which isn't a structured approach to project management. The response lacks a clear strategy. Bad: The response is a simple refusal to adapt, showing no structure or professional reasoning. Depth check: Good: The candidate explains the concept of a Minimum Viable Product (MVP) without necessarily using the jargon. They show they understand the balance between speed and quality. Mid: The candidate's response is superficial and doesn't address the complexities of re-prioritizing work. It shows a lack of experience with professional project constraints. Bad: The response is very brief and shows no reflection on how to handle difficult workplace situations. Clarity check: Good: The candidate's communication style is professional and constructive. They explain their reasoning clearly and stay focused on the project's success. Mid: The response is understandable but the candidate sounds a bit panicked or overwhelmed by the scenario. Bad: The tone of the response is somewhat confrontational or dismissive, which would be inappropriate in a real workplace. Relevance to role: Good: The candidate demonstrates the adaptability and prioritization skills required for a junior role in a fast-paced environment. Mid: The candidate is eager to please but may need a lot of guidance to avoid making mistakes under pressure. Bad: The candidate is not a good fit for a role where priorities can shift quickly.|5|Explain how you would handle a situation where a stakeholder suddenly moves up a deadline while you are still working on the project?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|4|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|B|6|Behavioral ​|I usually find it very difficult to explain my work to people who aren't in my field, so I try to avoid doing it. If I have to, I just give them the technical report and tell them to read the summary at the end. I think if someone doesn't have the background, they probably won't understand the details no matter how I explain it.|During a project at school, I had to explain my findings to a group of students from a different department. I avoided using specific jargon and instead used an analogy related to everyday shopping to explain how the algorithm was making its predictions. I also paused frequently to ask if they had any questions, which ensured that everyone was following the logic of the presentation.|I had to explain my part of a project to a friend who doesn't study the same things as me. I tried to use simpler words and I showed them a few pictures of my results so they could see what I was talking about. They seemed to get the general idea, although I think some of the details were still a bit confusing for them.|Question intent check: Good: The candidate demonstrates empathy and communication skills by using analogies and checking for understanding. They show they can bridge the gap between technical work and non-technical stakeholders. Mid: The candidate makes an effort to simplify their language but doesn't have a clear strategy for effective communication. Their approach is somewhat hit-or-miss. Bad: The candidate shows an elitist or dismissive attitude toward non-technical people. This would be a major problem in a role that requires collaboration across departments. Structure check: Good: The response describes the audience, the specific method used to simplify the concept, and the result of the interaction. It is a well-rounded behavioral answer. Mid: The story is a bit vague and doesn't clearly show the 'how' of the communication process. The structure is decent but could be stronger. Bad: The response is a general statement of opinion rather than a specific example from the candidate's experience. Depth check: Good: The candidate provides a specific example of an analogy they used, which proves they have actually thought about this challenge. They show a high level of self-awareness. Mid: The response lacks specific details about what was actually said or done to make the concept clearer. It feels a bit like the candidate is guessing what the interviewer wants to hear. Bad: The response is very short and provides no evidence of the candidate's communication abilities. Clarity check: Good: The candidate's own explanation is clear and professional, reflecting the very skill being asked about in the question. Mid: The response is understandable but a bit repetitive. The candidate's communication is acceptable but not particularly impressive. Bad: The response is poorly articulated, which is ironic given the question's focus on clear communication. Relevance to role: Good: The candidate shows they can be a 'translator' between the project team and other stakeholders, which is a highly valued skill. Mid: The candidate can communicate basic ideas but might struggle with more complex stakeholder interactions. Bad: The candidate's communication style would likely lead to misunderstandings and project delays.|6|Can you describe a time when you had to explain a complex concept to someone who did not have a technical background?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|5|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|B|7|Behavioral ​|I usually wait for my manager or a teacher to tell me what I need to learn next so I don't waste time on things that aren't important. I think the company should provide training for any new skills they want me to have once I start the job. I don't really like spending my own time on extra studying if I don't have to.|While working on a personal project, I realized that I didn't know how to use a specific library that would make my work much more efficient. I spent my weekends watching online tutorials and reading the documentation until I felt comfortable using it. I was then able to apply that new skill to my project, which reduced the time it took to complete my tasks by nearly thirty percent.|I noticed that a lot of job postings were asking for a specific skill that I didn't learn in school. I decided to sign up for a free online course and I've been going through the modules when I have some spare time. I haven't finished it yet, but I already know more than I did before and I think it will be useful in the future.|Question intent check: Good: The candidate demonstrates a proactive attitude and a genuine interest in self-improvement. They show they can identify their own weaknesses and take action without being prompted. Mid: The candidate shows some initiative but their efforts are a bit unfocused or incomplete. They are moving in the right direction but lack a strong drive. Bad: The candidate is passive and expects others to manage their professional development. This lack of initiative is a negative trait for a junior hire who needs to learn quickly. Structure check: Good: The response clearly identifies the gap, the specific learning actions, and the positive outcome of the effort. This is a classic, effective STAR response. Mid: The story is a bit weak on the 'result' side because the candidate hasn't finished what they started. The structure is okay but the narrative is incomplete. Bad: The response is a general statement about the candidate's philosophy on training, not a specific example of an action they took. Depth check: Good: The candidate mentions specific resources and a concrete project where they applied the new skill. This adds a lot of credibility to their answer. Mid: The candidate is vague about what they are learning and why. The response lacks the detail needed to show they are truly committed to the process. Bad: The response provides zero detail and suggests the candidate doesn't value independent learning. Clarity check: Good: The candidate's response is well-organized and their motivation for learning is clear. They speak with enthusiasm and clarity. Mid: The response is understandable but a bit dry. The candidate doesn't seem very excited about their own learning journey. Bad: The response is muddled and the candidate's point is difficult to discern. Relevance to role: Good: The candidate shows they are a 'life-long learner' who will stay up-to-date with new tools and methods. This is a huge plus for a junior role. Mid: The candidate will learn if pushed, but might not be the most proactive member of the team. Bad: The candidate's lack of initiative would make them a burden on a team that needs to stay current with changing technology.|7|Tell me about a time you identified a gap in your knowledge and took the initiative to learn a new skill independently?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|6|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|B|8|Specific|I think exploratory analysis is mostly a waste of time because the model will find the patterns for you once you run the code. I usually just glance at the first few rows of the file to make sure it loaded correctly and then I go straight into the advanced analysis. It's better to spend time on the final results.|I start by generating summary statistics to understand the mean, median, and spread of each variable. Then, I use histograms and scatter plots to visualize the distributions and identify any obvious clusters or outliers. I also create a correlation matrix to see how the variables relate to each other, which helps me develop hypotheses that I can test during the modeling phase of the project.|I usually just plot all the variables against each other to see if I can spot any lines or patterns in the graphs. I also check to see if there are any really high or really low numbers that might be mistakes. It's mostly just about looking at the data until I start to understand what is going on with the project.|Question intent check: Good: The candidate understands that exploratory analysis is a vital first step that informs the rest of the project. They use both statistical and visual methods to gain insights. Mid: The candidate has a basic idea of what to do but their approach is unorganized and relies too much on 'gut feeling' rather than a systematic process. Bad: The candidate completely misses the purpose of exploration. This suggests they are likely to miss important data issues that will ruin their final results. Structure check: Good: The candidate describes a logical flow from basic statistics to visualization to hypothesis generation. This shows a high level of professional discipline. Mid: The response is a list of things the candidate does, but there is no clear reason for the order. It feels a bit like a collection of random tasks. Bad: The response has no structure because the candidate doesn't believe in performing the task in the first place. Depth check: Good: The candidate mentions specific tools like correlation matrices and histograms, showing they have practical experience with the workflow. They explain why each step is important. Mid: The candidate uses vague terms like 'plotting variables' without explaining which plots or why they are used. The response lacks technical weight. Bad: The response is extremely superficial and shows a lack of understanding of standard project workflows. Clarity check: Good: The candidate's explanation is clear, concise, and professional. They sound like someone who has actually done this work before. Mid: The candidate is a bit vague and their explanation of their process is somewhat confusing. They might struggle to explain their findings to a stakeholder. Bad: The response is poorly articulated and shows a lack of technical fluency. Relevance to role: Good: The candidate shows they have the foundational skills needed to handle new data responsibly. They are well-prepared for a junior execution role. Mid: The candidate can do the work but will need a lot of direction to ensure they aren't missing important insights. Bad: The candidate's approach is dangerous for a project-based role where data quality is paramount.|8|What is your process for performing exploratory data analysis to find patterns or anomalies in a new dataset?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|7|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|B|9|Specific|I think it is always best to include every single variable you have because you never know what the model might find useful. If you start taking things out, you might lose important information and make the project less accurate. The computer is fast enough to handle everything at once, so there's no reason to choose.|I first use domain knowledge to select features that logically should have an impact on the goal. Then, I look at correlation scores to remove variables that are too similar to each other, which helps prevent redundancy. Finally, I often use a basic model to get a 'feature importance' score, which tells me which variables are actually contributing the most to the predictions on the task.|I usually just try different combinations of variables and see which one gives me the best score on the final project. If I add a variable and the score goes up, I keep it, and if the score goes down, I take it out. It's a lot of trial and error but it eventually works out for most of my projects.|Question intent check: Good: The candidate uses a multi-layered approach that includes logic, statistics, and model feedback. This shows a sophisticated understanding of the feature selection process. Mid: The candidate's approach is based on trial and error, which is inefficient and can lead to overfitting. They understand the goal but not the best way to achieve it. Bad: The candidate doesn't understand the 'curse of dimensionality' or the risk of including noisy data. Their approach is fundamentally flawed and would lead to poor models. Structure check: Good: The response follows a clear 'funnel' approach: starting broad with domain knowledge and narrowing down with statistical and model-based filters. Mid: The response is a bit circular and describes a repetitive process rather than a structured one. It is easy to follow but not very professional. Bad: The response is a single, incorrect assertion that lacks any logical structure or nuance. Depth check: Good: The candidate mentions specific concepts like redundancy and feature importance scores. They show they have a deep understanding of the 'why' behind each step. Mid: The candidate stays at a very high level and doesn't mention any specific techniques or tools. The response feels a bit like a guess. Bad: The response shows zero technical depth and a lack of familiarity with standard industry practices. Clarity check: Good: The candidate's explanation is professional and clear. They use technical terms accurately and explain their reasoning in a way that is easy to follow. Mid: The candidate is mostly clear but their explanation of 'trial and error' is a bit vague. They might have trouble justifying their choices to a project lead. Bad: The response is poorly articulated and suggests a lack of technical training. Relevance to role: Good: The candidate shows they can build efficient and accurate models, which is a core requirement for the job. They are a strong junior candidate. Mid: The candidate can build models but their lack of a systematic approach means they will be less efficient and their work will be harder to reproduce. Bad: The candidate's approach would lead to poor quality work that would be difficult for the team to use or maintain.|9|Describe how you determine which variables or features are most important to include when building a predictive model?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|8|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
Data Scientist|Junior \\n- 0 to 2 years experience / fresh grad\\n- Knows fundamentals\\n- Has done projects or internships\\n- Not expected to design systems end-to-end|B|10|Situational​|I would just wait until the instructions become clearer before I start any work. It's not a good use of my time to work on something if I don't know exactly what the stakeholder wants. I think it is the manager's job to provide clear instructions, and if they don't, then the project shouldn't even be started yet.|In that situation, I would start by scheduling a meeting with the person who assigned the task to ask specific questions about the intended outcome and any constraints. I would then write up a short project proposal that outlines my understanding of the goals and a few initial steps I plan to take. I would ask for their feedback on this document to ensure we are aligned before I spend too much time on the work.|I would probably just start working on the parts of the project that I already understand and then ask for help when I get stuck on the vague parts. I don't want to bother my supervisor with too many questions right at the beginning, so I'd try to figure out as much as I can on my own first. Eventually, I'd have to ask for more details though.|Question intent check: Good: The candidate shows they can handle ambiguity by taking the initiative to clarify expectations and propose a plan. They demonstrate strong communication and professional maturity. Mid: The candidate is willing to work but is hesitant to ask for the clarification they need. They are likely to waste time by heading in the wrong direction because they didn't ask questions early enough. Bad: The candidate is passive and refuses to take any action in the face of uncertainty. This would make them very difficult to manage in a real-world project environment. Structure check: Good: The response describes a clear, proactive process: inquiry, documentation, and verification. This is an excellent way to manage expectations in a professional setting. Mid: The candidate's plan is a bit more 'wait and see', which lacks a clear structure or professional logic. The narrative is okay but not particularly strong. Bad: The response is a refusal to work, which doesn't require or provide any structure. Depth check: Good: The candidate explains why they would write a proposal and seek feedback, showing they understand the importance of stakeholder alignment. They demonstrate a high level of professional judgment. Mid: The response is superficial and doesn't address how to actually solve the problem of ambiguity. It shows a lack of experience with professional communication. Bad: The response provides no insight into the candidate's problem-solving or communication skills. Clarity check: Good: The candidate's communication style is professional and constructive. They explain their reasoning clearly and stay focused on project success. Mid: The candidate is a bit vague about how they would actually handle the conversation with their supervisor. The level of communication is acceptable for a junior. Bad: The tone of the response is somewhat entitled or unhelpful, which would not be a good fit for the team. Relevance to role: Good: The candidate shows they can function effectively even when instructions aren't perfect, which is a key trait for success in any project role. Mid: The candidate will need a lot of hand-holding and clear instructions to be successful. They are an acceptable but high-maintenance hire. Bad: The candidate is not a good fit for a role where they need to take ownership of their tasks.|10|Could you walk me through how you would proceed if you were given a project goal that felt very vague or poorly defined?|PASS|98|[\"Strict adherence to schema and rubric structural requirements.\", \"Excellent differentiation between Good, Mid, and Bad answers.\", \"Dimensions are unique and highly relevant for the junior level.\", \"Interrogative sentences are well-formed and follow length constraints.\"]|17f93defb48e851d695c121c14dfaeac72c7e3fe|fef8e805d8f6eeda988d57a28685c29cfd749760|Data Scientist|9|c8b78f7dfaf8e695830804398d39c9627a5e4d12|gemini-3-flash-preview|1.0|2026-02-20T16:39:17.256026Z
